case_id,order_index,order,N,rep,seed,estimate,error,abs_error
genuine_rvine_d5,4,4-2-3,1024,32,1030033,0.15390778412116507,-0.0024276946835631863,0.0024276946835631863
genuine_rvine_d5,1,2-3-4,1024,33,1030034,0.15617582771843616,-0.00015965108629209523,0.00015965108629209523
genuine_rvine_d5,2,2-4-3,1024,33,1030034,0.15524549820604672,-0.0010899805986815392,0.0010899805986815392
genuine_rvine_d5,3,3-2-4,1024,33,1030034,0.1558016512168428,-0.0005338275878854493,0.0005338275878854493
genuine_rvine_d5,4,4-2-3,1024,33,1030034,0.1590049063232262,0.002669427518497941,0.002669427518497941
genuine_rvine_d5,1,2-3-4,1024,34,1030035,0.15623224411717232,-0.00010323468755593646,0.00010323468755593646
genuine_rvine_d5,2,2-4-3,1024,34,1030035,0.15737671908342082,0.0010412402786925679,0.0010412402786925679
genuine_rvine_d5,3,3-2-4,1024,34,1030035,0.15575490200261638,-0.0005805768021118762,0.0005805768021118762
genuine_rvine_d5,4,4-2-3,1024,34,1030035,0.15249137014800404,-0.0038441086567242155,0.0038441086567242155
genuine_rvine_d5,1,2-3-4,1024,35,1030036,0.1581796965420648,0.0018442177373365343,0.0018442177373365343
genuine_rvine_d5,2,2-4-3,1024,35,1030036,0.15852153789917056,0.0021860590944423053,0.0021860590944423053
genuine_rvine_d5,3,3-2-4,1024,35,1030036,0.15719550511626867,0.0008600263115404183,0.0008600263115404183
genuine_rvine_d5,4,4-2-3,1024,35,1030036,0.15747020903726341,0.0011347302325351583,0.0011347302325351583
genuine_rvine_d5,1,2-3-4,1024,36,1030037,0.158053739021654,0.0017182602169257544,0.0017182602169257544
genuine_rvine_d5,2,2-4-3,1024,36,1030037,0.15769208791333936,0.001356609108611101,0.001356609108611101
genuine_rvine_d5,3,3-2-4,1024,36,1030037,0.1577373828479812,0.0014019040432529384,0.0014019040432529384
genuine_rvine_d5,4,4-2-3,1024,36,1030037,0.15871732323891463,0.0023818444341863754,0.0023818444341863754
