case_id,order_index,order,N,rep,seed,estimate,error,abs_error,runtime_s
gaussian_rectangle_d5,1,2-3-4,1024,17,1830018,0.12616187936167764,1.5480364893849519e-6,1.5480364893849519e-6,0.007612042
gaussian_rectangle_d5,2,3-2-4,1024,17,1830018,0.12616219063566755,1.8593104793018789e-6,1.8593104793018789e-6,0.007494125
gaussian_rectangle_d5,3,3-4-2,1024,17,1830018,0.12616433256477028,4.001239582024363e-6,4.001239582024363e-6,0.007374708
gaussian_rectangle_d5,4,4-3-2,1024,17,1830018,0.1261661991678468,5.867842658546785e-6,5.867842658546785e-6,0.008288375
gaussian_rectangle_d5,1,2-3-4,1024,18,1830019,0.12616453103034353,4.199705155277789e-6,4.199705155277789e-6,0.007423875
gaussian_rectangle_d5,2,3-2-4,1024,18,1830019,0.12616357228749894,3.2409623106910423e-6,3.2409623106910423e-6,0.007422958
gaussian_rectangle_d5,3,3-4-2,1024,18,1830019,0.1261687171612719,8.385836083646403e-6,8.385836083646403e-6,0.007424542
gaussian_rectangle_d5,4,4-3-2,1024,18,1830019,0.1261676805321597,7.349206971457578e-6,7.349206971457578e-6,0.007401792
gaussian_rectangle_d5,1,2-3-4,1024,19,1830020,0.12615758786856524,-2.7434566230166713e-6,2.7434566230166713e-6,0.008561292
gaussian_rectangle_d5,2,3-2-4,1024,19,1830020,0.1261583144281673,-2.0168970209510917e-6,2.0168970209510917e-6,0.007393084
gaussian_rectangle_d5,3,3-4-2,1024,19,1830020,0.12615909247139995,-1.2388537883045725e-6,1.2388537883045725e-6,0.007275708
gaussian_rectangle_d5,4,4-3-2,1024,19,1830020,0.12615909338759163,-1.2379375966264927e-6,1.2379375966264927e-6,0.007428291
gaussian_rectangle_d5,1,2-3-4,1024,20,1830021,0.12616453547625273,4.2041510644741376e-6,4.2041510644741376e-6,0.007367541
gaussian_rectangle_d5,2,3-2-4,1024,20,1830021,0.12616519416493988,4.862839751623715e-6,4.862839751623715e-6,0.007374833
gaussian_rectangle_d5,3,3-4-2,1024,20,1830021,0.12616176726877557,1.4359435873134707e-6,1.4359435873134707e-6,0.007324625
gaussian_rectangle_d5,4,4-3-2,1024,20,1830021,0.12616188380435914,1.5524791708854124e-6,1.5524791708854124e-6,0.007329916
gaussian_rectangle_d5,1,2-3-4,1024,21,1830022,0.1261633804242007,3.0490990124421025e-6,3.0490990124421025e-6,0.007421291
gaussian_rectangle_d5,2,3-2-4,1024,21,1830022,0.12616501263792212,4.6813127338729554e-6,4.6813127338729554e-6,0.00798475
gaussian_rectangle_d5,3,3-4-2,1024,21,1830022,0.12616269635252672,2.3650273384689946e-6,2.3650273384689946e-6,0.007386208
