event,d,N,rep,seed,method,estimate,runtime_s,bytes,allocations,hfunc_calls,hinv_calls,pair_cdf_calls
central_25_75_rectangle,10,256,22,20340927,current_indicator,0.015625,0.003970542,3237088,4238,NaN,NaN,NaN
central_25_75_rectangle,10,256,22,20340927,reduced_conditional,0.022411874971292288,0.01112025,2245408,650,33792,7168,1024
central_25_75_rectangle,10,256,23,20340928,current_indicator,0.03515625,0.003965084,3237088,4238,NaN,NaN,NaN
central_25_75_rectangle,10,256,23,20340928,reduced_conditional,0.022434829065766243,0.012081834,2245408,650,33792,7168,1024
central_25_75_rectangle,10,256,24,20340929,current_indicator,0.015625,0.004006083,3237088,4238,NaN,NaN,NaN
central_25_75_rectangle,10,256,24,20340929,reduced_conditional,0.022418980918721715,0.011158833,2245408,650,33792,7168,1024
central_25_75_rectangle,10,256,25,20340930,current_indicator,0.02734375,0.003971208,3237088,4238,NaN,NaN,NaN
central_25_75_rectangle,10,256,25,20340930,reduced_conditional,0.022478122523802394,0.011135875,2245408,650,33792,7168,1024
central_25_75_rectangle,10,256,26,20340931,current_indicator,0.01953125,0.003940834,3237088,4238,NaN,NaN,NaN
central_25_75_rectangle,10,256,26,20340931,reduced_conditional,0.02243142586127587,0.011194959,2245408,650,33792,7168,1024
central_25_75_rectangle,10,256,27,20340932,current_indicator,0.03125,0.004814958,3237088,4238,NaN,NaN,NaN
central_25_75_rectangle,10,256,27,20340932,reduced_conditional,0.02239541615527526,0.0111385,2245408,650,33792,7168,1024
