case_id,d,conditioning_dimension,rho,event,rule,N,rep,seed,method,estimate,reference,abs_error,generation_time_s,evaluation_time_s,total_runtime_s,generation_bytes,evaluation_bytes,generation_allocations,evaluation_allocations,hfunc_calls,hinv_calls,pair_cdf_calls
equicorr_cdf_rho0_3_d20,20,18,0.3,cdf,sobol_owen,1024,15,20917566,current_indicator,0.560546875,0.5547860119171046,0.005760863082895362,0.034268708,0.108258833,0.142527541,20791168,3176736,1741,2683,NaN,NaN,NaN
equicorr_cdf_rho0_3_d20,20,18,0.3,cdf,sobol_owen,1024,16,20917567,current_indicator,0.544921875,0.5547860119171046,0.009864136917104638,0.150465792,0.106219542,0.256685334,20791168,3176736,1741,2683,NaN,NaN,NaN
equicorr_cdf_rho0_3_d20,20,18,0.3,cdf,sobol_owen,1024,17,20917568,current_indicator,0.5556640625,0.5547860119171046,0.0008780505828953622,0.020591167,0.10537075,0.125961917,20791168,3176736,1741,2683,NaN,NaN,NaN
equicorr_cdf_rho0_3_d20,20,18,0.3,cdf,sobol_owen,1024,18,20917569,current_indicator,0.54296875,0.5547860119171046,0.011817261917104638,0.021533291,0.103597625,0.125130916,20791168,3176736,1741,2683,NaN,NaN,NaN
equicorr_cdf_rho0_3_d20,20,18,0.3,cdf,sobol_owen,1024,19,20917570,current_indicator,0.5703125,0.5547860119171046,0.015526488082895362,0.020993292,0.105457584,0.126450876,20791168,3176736,1741,2683,NaN,NaN,NaN
equicorr_cdf_rho0_3_d20,20,18,0.3,cdf,sobol_owen,1024,20,20917571,current_indicator,0.5673828125,0.5547860119171046,0.012596800582895362,0.019757709,0.108767458,0.128525167,20791168,3176736,1741,2683,NaN,NaN,NaN
equicorr_cdf_rho0_3_d20,20,18,0.3,cdf,sobol_owen,1024,21,20917572,current_indicator,0.546875,0.5547860119171046,0.007911011917104638,0.019264625,0.103735459,0.12300008400000001,20791168,3176736,1741,2683,NaN,NaN,NaN
equicorr_cdf_rho0_3_d20,20,18,0.3,cdf,sobol_owen,1024,22,20917573,current_indicator,0.556640625,0.5547860119171046,0.0018546130828953622,0.020995334,0.106432333,0.127427667,20791168,3176736,1741,2683,NaN,NaN,NaN
equicorr_cdf_rho0_3_d20,20,18,0.3,cdf,sobol_owen,1024,23,20917574,current_indicator,0.5576171875,0.5547860119171046,0.002831175582895362,0.022829167,0.106008292,0.12883745900000002,20791168,3176736,1741,2683,NaN,NaN,NaN
equicorr_cdf_rho0_3_d20,20,18,0.3,cdf,sobol_owen,1024,24,20917575,current_indicator,0.5576171875,0.5547860119171046,0.002831175582895362,0.019421708,0.106121375,0.125543083,20791168,3176736,1741,2683,NaN,NaN,NaN
equicorr_cdf_rho0_3_d20,20,18,0.3,cdf,sobol_owen,1024,25,20917576,current_indicator,0.5556640625,0.5547860119171046,0.0008780505828953622,0.020036084,0.105877958,0.125914042,20791168,3176736,1741,2683,NaN,NaN,NaN
equicorr_cdf_rho0_3_d20,20,18,0.3,cdf,sobol_owen,1024,26,20917577,current_indicator,0.5498046875,0.5547860119171046,0.004981324417104638,0.020263541,0.104656375,0.12491991599999999,20791168,3176736,1741,2683,NaN,NaN,NaN
equicorr_cdf_rho0_3_d20,20,18,0.3,cdf,sobol_owen,1024,27,20917578,current_indicator,0.5498046875,0.5547860119171046,0.004981324417104638,0.018962625,0.104028875,0.1229915,20791168,3176736,1741,2683,NaN,NaN,NaN
equicorr_cdf_rho0_3_d20,20,18,0.3,cdf,sobol_owen,1024,28,20917579,current_indicator,0.5556640625,0.5547860119171046,0.0008780505828953622,0.019003833,0.104498417,0.12350225,20791168,3176736,1741,2683,NaN,NaN,NaN
